"","title","book_type","rank","rank_last_week","weeks_on_list","author","publisher","description","date_published","book_image","book_image_width","book_image_height"
"15","UNMASKED","Combined Print and E-Book Nonfiction",15,8,3,"Andy Ngo","Center Street","A former writer for the online magazine Quillette gives his perspective on the activist movement antifa.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781546059585.jpg",331,500
"16","HOW TO AVOID A CLIMATE DISASTER","Combined Print and E-Book Nonfiction",1,1,2,"Bill Gates","Knopf","A prescription for what business, governments and individuals can do to work toward zero emissions.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780385546133.jpg",342,500
"17","THINK AGAIN","Combined Print and E-Book Nonfiction",2,10,4,"Adam Grant","Viking","An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9781984878106.jpg",331,500
"18","GREENLIGHTS","Combined Print and E-Book Nonfiction",3,8,19,"Matthew McConaughey","Crown","The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780593139134.jpg",392,500
"19","CASTE","Combined Print and E-Book Nonfiction",4,5,30,"Isabel Wilkerson","Random House","The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780593230251.jpg",330,500
"20","WALK IN MY COMBAT BOOTS","Combined Print and E-Book Nonfiction",5,4,3,"James Patterson and Matt Eversmann with Chris Mooney","Little, Brown","A collection of interviews with troops who fought overseas.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780316429092.jpg",322,500
"21","JUST AS I AM","Combined Print and E-Book Nonfiction",6,2,5,"Cicely Tyson with Michelle Burford","HarperCollins","The late iconic actress describes how she worked to change perceptions of Black women through her career choices.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780062931061.jpg",328,500
"22","THE SUM OF US","Combined Print and E-Book Nonfiction",7,3,2,"Heather McGhee","One World","The chair of the board of the racial justice organization Color of Change analyzes the impact of racism on the economy.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780525509561.jpg",329,500
"23","A PROMISED LAND","Combined Print and E-Book Nonfiction",8,6,15,"Barack Obama","Crown","In the first volume of his presidential memoirs, Barack Obama offers personal reflections on his formative years and pivotal moments through his first term.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9781524763169.jpg",329,500
"24","UNTAMED","Combined Print and E-Book Nonfiction",9,9,51,"Glennon Doyle","Dial","The activist and public speaker describes her journey of listening to her inner voice.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9781984801258.jpg",330,500
"25","NOMADLAND","Combined Print and E-Book Nonfiction",10,0,1,"Jessica Bruder","Norton"," A look at an expanding low-cost labor pool, which largely consists of transient older adults, and what this might portend.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780393356311.jpg",333,500
"26","THE BODY KEEPS THE SCORE","Combined Print and E-Book Nonfiction",11,11,27,"Bessel van der Kolk","Penguin","How trauma affects the body and mind, and innovative treatments for recovery.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg",128,193
"27","FOUR HUNDRED SOULS","Combined Print and E-Book Nonfiction",12,12,4,"edited  Ibram X. Kendi and Keisha N. Blain","One World","A compendium featuring 90 writers covering 400 years of African-American history.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780593134047.jpg",331,500
"28","THINKING, FAST AND SLOW","Combined Print and E-Book Nonfiction",13,0,22,"Daniel Kahneman","Farrar, Straus & Giroux","The winner of the Nobel in economic science discusses how we make choices.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9781429969352.jpg",330,490
